Market Name,Address,City,State,Zipcode,Phone,Double Value
Alton Farmers & Artisans Market,600 Landmarks Blvd,Alton,IL,62002,(618) 463-1016,False
Aurora Farmers Market - Downtown,233 N. Broadway,Aurora,IL,60505,(630) 256-3370,True
Aurora Farmers Market - East,701 S. Eola Road,Aurora,IL,60504,,True
Aurora Farmers Market - West,1901 W. Galena Blvd.,Aurora,IL,60506,,True
Downtown Bloomington Association Market,200 N. Main Street,Bloomington,IL,61701,(309) 829-9599,False
Buffalo Grove Farmers Market,951 McHenry Road,Buffalo Grove,IL,60089,(309) 829-9599,False
Carbondale Community Farmers Market,1301 E. Walnut St.,Carbondale,IL,62901,(785) 643-1054,False
Farmers Market of Carbondale,2101 W. Main St.,Carbondale,IL,62901,(618) 833-2769,False
Regional Producer Farmers Market,317 E. Main St.,Carbondale,IL,62901,(618) 308-0792,False
Crump Family Gardens,10396 E. 2100 North Road,Carlock,IL,61725,(309) 376-5281,False
Cannon Park Community Market,102 N. Greenbriar Rd.,Carterville,IL,62918,(618) 308-0792,False
The Land Connection of Champaign/Champaign Farmers Market,310 N. Neil St.,Champaign,IL,61820,(217) 840-2128,False
18th Street Farmers Market,825 18th St.,Charleston,IL,61820,(217) 345-4700,False
Experimental Station,6100 S. Blackstone Ave.,Chicago,IL,60637,(773) 241-6044,True
Andersonville Farmers Market,1500 W. Berwyn Avenue,Chicago,IL,60640,(773) 728-2995,True
Austin Town Hall Farmers Market,W. Lake St. & N. Central Ave.,Chicago,IL,60644,(312) 744-0565,True
Back of the Yards Community Market at The Plant,1400 W. 46th St.,Chicago,IL,60609,(773) 847-5523,True
Bronzeville Community Market,2600 Martin Luther King Dr.,Chicago,IL,60653,,False
Chicago Botanic Garden's Green Youth Farm (Lawndale),3750 W. Ogden Street,Chicago,IL,60623,(224) 412-7635,False
Chicago Botanic Garden's Green Youth Farm (Washington Park),555 E. 51st Street,Chicago,IL,60623,(224) 412-7635,False
Columbus Park Farmers Market,W. Harrison St. & S. Central Ave.,Chicago,IL,60644,(312) 744-0565,True
Daley Plaza Chicago Farmers Market,50 W. Washington St.,Chicago,IL,60602,(312) 744-0565,True
Division Street Chicago Farmers Market,1200 N. Dearborn St.,Chicago,IL,,(312) 744-0565,True
Eden Place Farmers Market,43rd St. & S. Wells,Chicago,IL,60609,(773) 624-8686,False
El Conuco Farmers Market in Humboldt Park,2739 W. Division St.,Chicago,IL,60622,,True
Englewood/Anchor House,7600 S. Racine Ave,Chicago,IL,60620,(312) 744-0565,True
Faith In Place,70 E. Lake Street,Chicago,IL,60601,(312) 733-4640,False
Federal Plaza Chicago Farmers Market,230 S. Dearborn St.,Chicago,IL,60603,(312) 744-0565,True
Garfield Park Community Council,200 N. Kedzie Ave.,Chicago,IL,60624,(773) 638-1766,True
George Washington Carver Farms Market,10105 S.  Wallace St. ,Chicago,IL,60628,(773) 870-6556,False
George Washington Carver Farms - Altgeld Gardens Market,939 E. 130th Place,Chicago,IL,60827,(773) 870-6556,False
Glenwood Sunday Market,1448 W. Morse Avenue,Chicago,IL,60626,(773) 508-5885,True
Glenwood Sunday Market - Indoor,6962 N. Glenwood Ave.,Chicago,IL,60626,,True
Green City Market - Outdoor,1800 N. Clark Street,Chicago,IL,60614,(773) 880-1266,True
Green City Market - Indoor,2430 N Cannon Drive,Chicago,IL,60614,,True
Green City Market - West Loop,115 S. Sangamon St.,Chicago,IL,60607,,True
Growing Home Night Market at Kusanya Café,825 W. 69th St.,Chicago,IL,60621,,False
"Growing Power, Iron St. Farmers Market",3333 S. Iron St.,Chicago,IL,60608,(773) 376-8882,False
Healthy Food Hub Farmers' Market,2423 E 75th St.,Chicago,IL,60649,(773) 410-3446,False
Hyde Park Chicago Farmers Market,5300 Harper Court Circle,Chicago,IL,60615,(312) 744-0565,False
Iman Health and Wellness Farmers Market,2744 W. 63rd St.,Chicago,IL,62609,(773) 434-4626,True
Independence Park Farmers Market,3945 N. Springfield Ave.,Chicago,IL,60618,(312) 263-3754,False
LaFollette Park Farmers Market,1333 N. Laramie,Chicago,IL,60651,(312) 744-0565,True
Lincoln Square Farmers Market,2301 W. Leland Ave.,Chicago,IL,60625,(312) 744-0565,True
Logan Square Farmers Market,3107 W. Logan Boulevard,Chicago,IL,60647,(773) 489-3222,False
Logan Square Winter Farmers Market,2755 N. Milwaukee Ave.,Chicago,IL,,,False
Loyola Farmers Market,6550 N. Sheridan Rd.,Chicago,IL,60626,(773) 508-8255,False
McKinley Park Farmers Market,2210 W. Pershing Road,Chicago,IL,60609,(847) 902-4299,False
Otis Fresh Farmers Market,2616 S. Calumet Ave.,Chicago,IL,60609,(773) 747-1761,False
PCC Austin Community Farm,330 N. Lotus Ave.,Chicago,IL,60644,(708) 524-7685,False
Pilsen Community Market,1800 S. Halsted Street,Chicago,IL,60608,(305) 283-6747,False
Portage Park Farmers Market,4100 N. Long Ave.,Chicago,IL,60641,(773) 720-5381,False
Printer Row Farmers Market,700 S. Dearborn St.,Chicago,IL,60620,,True
Pullman Farmers Market,11141 S. Cottage Grove,Chicago,IL,60628,(312) 744-0565,True
Roseland Community Farmers Market,11400 S. Michigan Ave.,Chicago,IL,60628,,False
Seaway Bank Farmers Market,645 E. 87th St.,Chicago,IL,60619,(773) 487-4800,True
South Halsted Farmers Market,79th & South Shore Drive (corner),Chicago,IL,60643,(773) 568-2929,True
South Shore Farmers' Market,79th & South Shore Drive (corner),Chicago,IL,60649,(773) 554-8056,True
The Rowan Tree Garden Society Farmers Market,501 W. Englewood Ave.,Chicago,IL,60621,(773) 297-4766,False
Trinity UCC Farmers' Market,400 W 95th St,Chicago,IL,60628,(773) 962-5650,True
Weiss Memorial Hospital Uptown Farmers Market,4646 N Marine Dr.,Chicago,IL,60640,(773) 564-5221,False
West Humboldt Park Farmers Market and Bazaar,3601 W. Chicago Ave.,Chicago,IL,60651,(773) 342-0036,True
Wicker Park Farmers Market,1425 N. Damen Ave.,Chicago,IL,60622,(773) 384-2672,True
Willis Tower Farmer Market,233 S. Wacker Dr.,Chicago,IL,60606,,True
"Wood Street Farm Stand/Growing Home, Inc.",5814 S. Wood Street,Chicago,IL,60636,(773) 434-7144,False
Pearson's Melon Farm,2019 Georgetown Rd.,Danville,IL,61832,,False
Dekalb Farmers Market,2nd St and Locust St.,Dekalb,IL,60115,(815) 756-6306,False
Fresh Farmer's Market,638 N. 20th St.,East St. Louis,IL,62205,(618) 271-8722,True
Land of Goshen Community Market,201 St. Louis St.,Edwardsville,IL,62025,(618) 307-6045,False
Downtown Elgin Harvest Market,200 North Grove Avenue,Elgin,IL,60120,(847) 488-1456,False
Evanston Farmers Market,University Place & Oak Avenue,Evanston,IL,60201,(847) 448-8045,False
United Sportsmen's Youth Foundation Farmers Market,1931 IL Route 75 E,Freeport,IL,61032,,False
Galesburg Farmers Market,360 E. Simmons Street,Galesburg,IL,61401,(309) 368-1750,False
Susie's Garden Patch,10258 US Highway 20,Garden Prairie,IL,61038,(815) 597-3011,False
Glenview Wagner Farm Farmers Market,1510 Wagner Road,Glenview,IL,60025,(847) 962-4073,True
JC Natural Farm,13071 Jordan Creek Rd.,Iuka,IL,62812,(618) 439-9416,False
Joliet Junior College Farmers Market,1215 Houbolt Rd.,Joliet,IL,60431,(815) 280-2540,False
Regional Producers Farmers Market (RPFM) - Johnson City,137 East Broadway Blvd (Downtown),Johnson City,IL,62951,(618) 308-0792,False
Kankakee Farmers Market,199 S. East Ave.,Kankakee,IL,60901,(815) 275-4395,False
Lanark Farmers Market,240 W. Clarmont St.,Lanark,IL,61046,(815) 275-4395,True
GPS Farmers Market,10714 N. 2nd St.,Machesney Park,IL,61115,(779) 221-8491,False
"Thunder 5 Ranch, Inc.",11141 County Rd 300 E,McLeansboro,IL,62859,(618) 308-0792,False
Morton Grove Farmers' Market,6210 Dempster St.,Morton Grove,IL,60053,(847) 750-6436,False
Northbrook Farmers Market,Corner of Cherry Lane & Meadow Rd.,Northbrook,IL,60062,,True
Oak Park Farmers Market,460 Lake Street,Oak Park,IL,60302,(708) 358-5780,True
City of Palos Heights Farmers Market,12217 S. Harlem Ave.,Palos Heights,IL,60463,(708) 361-1800,False
Park Forest Farmers Market,271 Lakewood,Park Forest,IL,60466,(708) 748-1118,False
Park Ridge Farmers Market,15 Prairie Ave.,Park Ridge,IL,60068,(847) 309-2433,False
Pekin Main Street Farmers Market,111 S. Capitol Street,Pekin,IL,61554,(309) 353-3100,False
EPIC Market,1913 W. Townline Road,Peoria,IL,61615,(309) 691-3800,False
Peoria Riverfront Market,200 S.W. Water Street,Peoria,IL,61602,(309) 671-5555,True
Zimmerlein Farm,439 S. Main St.,Princeton,IL,61356,(815) 878-8527,False
Angelic Organics/Blackhawk Farm,110 N. 1st St.,Rockford,IL,61107,(815) 243-0403,False
Rockford City Market,100 N. Water St.,Rockford,IL,61107,,False
Rockford North End City Market,1400 N. Main St. at,Rockford,IL,61103,(815) 977-5124,False
Illinois Products Farmers Market,801 E. Sangamon Avenue,Springfield,IL,62702,(217) 785-4873,False
Old Capitol Farmers Market,3 West Old State Capitol Plaza,Springfield,IL,62701,(217) 544-1723,True
Old Capitol Farmers Market - Eastside,2833 S. Grand Ave. East,Springfield,IL,62703,(217) 741-7717,False
Market at the Square,400 S. Vine Street,Urbana,IL,61801,(217) 384-2319,False
Green Youth Farm Stand - North Chicago/Waukegan,1215 N. Greenbay Rd.,Waukegan,IL,60085,(224) 612-2635,False
Woodstock Farmers Market,100 N. Johnson Street,Woodstock,IL,60098,(815) 338-5164,False
